"image_classification","image_description","primary_object","secondary_object","object_recognized","object_count","object_description","image_proba_names","image_proba_values","classroom_sentiment","engagement_level","sentiment_rationale"
"school classroom","A group of children are sitting on the floor in a classroom, attentively watching a man read a book.","people","children","TRUE",7,"A group of six children sitting together on the floor, one adult person holding a book, all in a classroom setting.","children, classroom, books, reading","{0.45, 0.30, 0.20, 0.05}","positive","high","Students are sitting in a circle on the floor, smiling, and showing positive body language towards the storyteller. The teacher is holding a book, engaging the children in what appears to be a storytelling session. The desks are not visible, suggesting a flexible arrangement that promotes group interaction. Each child is looking at the storybook attentively, indicating high levels of engagement."
"classroom","A lecturer is conducting a class session with a group of students sitting at desks in a large classroom.","lecturer","students","TRUE",14,"The image contains a classroom with several people, some sitting at desks and others standing.","['lecturer', 'table', 'student', 'window', 'paper', 'blackboard']","0.3, 0.25, 0.15, 0.1, 0.15, 0.1","mixed","moderate","While students are seated and appear to be engaged in activities, the presence of a single teacher speaking to the class indicates a typical lecture setting. The body language and facial expressions of some students suggest attentiveness, but others appear more disinterested or passive, which can be inferred from their slouched posture and lack of interaction with the teacher or peers."
"classroom","Three children are attentively reading books in a classroom. The walls are adorned with colorful posters and motivational quotes, creating a vibrant learning environment.","children","children reading","TRUE",3,"Two children are reading books, with one focused and wearing a yellow shirt.","children reading, classroom, books, books open, reading",":[0.45, 0.3, 0.15, 0.05, 0.05]","positive","high","The students are focused on their books, showing concentration and engagement in their tasks. Their body language is relaxed but attentive, indicating a comfortable and absorbing activity. The classroom also appears organized with colorful decorations that seem to encourage a stimulating learning environment. The presence of educational materials suggests a positive approach towards academic tasks."
"classroom","Three children are attentively reading books in a classroom. The walls are adorned with colorful posters and motivational quotes, creating a vibrant learning environment.","children","children reading","TRUE",1,"Another child reading in the background, wearing a green shirt with text.","children reading, classroom, books, books open, reading",":[0.45, 0.3, 0.15, 0.05, 0.05]","positive","high","The students are focused on their books, showing concentration and engagement in their tasks. Their body language is relaxed but attentive, indicating a comfortable and absorbing activity. The classroom also appears organized with colorful decorations that seem to encourage a stimulating learning environment. The presence of educational materials suggests a positive approach towards academic tasks."
"classroom","A classroom setting with a lecturer at the front and students seated in rows, engaged in lesson activities.","lecture","students","TRUE",4,"A few people are in a classroom, some sitting and some standing, holding papers and engaging in a discussion.","classroom","1.0","positive","moderate to high","Students are seated in a relaxed, informal circle, which suggests a collaborative setting. Some students are engaging with the materials in their hands, while others are interacting with each other or the instructor. Facial expressions vary, from attentive to slightly distracted, indicating a mix of engagement. The overall body language and group interaction suggest a constructive learning environment."
"inside a classroom","A classroom scene where students are seated at desks with open books and notebooks, appearing to be in the midst of a learning session or a lecture.","students","desks and textbooks","TRUE",10,"A group of people are seated in a classroom, engaged in studying and working at their desks.","['classroom', 'students', 'learning materials', 'books', 'interior design']","['0.45', '0.30', '0.15', '0.05', '0.05']","moderate","medium","Students are mostly focused on their books and papers, with some appearing attentive, which suggests moderate engagement. There are no signs of significant student interaction or positive affect such as smiles or laughter, which could further suggest a more neutral or slightly positive sentiment."
"inside a classroom","A classroom scene where students are seated at desks with open books and notebooks, appearing to be in the midst of a learning session or a lecture.","students","desks and textbooks","FALSE",0,"The object 'people' was not found in the image.","['classroom', 'students', 'learning materials', 'books', 'interior design']","['0.45', '0.30', '0.15', '0.05', '0.05']","moderate","medium","Students are mostly focused on their books and papers, with some appearing attentive, which suggests moderate engagement. There are no signs of significant student interaction or positive affect such as smiles or laughter, which could further suggest a more neutral or slightly positive sentiment."
"classroom","The image shows a classroom where students, likely high school or college age, are sitting at desks with their hands raised, actively engaged in the lesson.","students","educational setting","1",4,"In the image, there are four individuals with raised hands, suggesting they are raising their hands, possibly for a question or in response to a call for participation in a classroom setting.","student, desk, classroom, hands-raised, whiteboard, student, teacher, school supplies, hands-raised, desk, classroom, teaching, education, raising hands, students, classroom, educational, teaching, raising hands, students, class, lesson, education, raising hands, students","[0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04]","positive","high","Students are actively raising their hands, indicating readiness to participate in a learning activity. They appear happy and engaged, with one student prominently smiling and looking at the camera. The arrangement of desks is conducive to group learning, as seen by the layout in the middle of the image."
"school","A classroom setting where students interact with educational materials and each other.","students","classroom desks","1",4,"In the image, there are four individuals with raised hands, suggesting they are raising their hands, possibly for a question or in response to a call for participation in a classroom setting.","student, desk, classroom, hands-raised, whiteboard, student, teacher, school supplies, hands-raised, desk, classroom, teaching, education, raising hands, students, classroom, educational, teaching, raising hands, students, class, lesson, education, raising hands, students","[0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04]","positive","high","Students are actively raising their hands, indicating readiness to participate in a learning activity. They appear happy and engaged, with one student prominently smiling and looking at the camera. The arrangement of desks is conducive to group learning, as seen by the layout in the middle of the image."
"students","The image highlights the students in a classroom setting participating in a lesson.","students","classroom environment","1",4,"In the image, there are four individuals with raised hands, suggesting they are raising their hands, possibly for a question or in response to a call for participation in a classroom setting.","student, desk, classroom, hands-raised, whiteboard, student, teacher, school supplies, hands-raised, desk, classroom, teaching, education, raising hands, students, classroom, educational, teaching, raising hands, students, class, lesson, education, raising hands, students","[0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04]","positive","high","Students are actively raising their hands, indicating readiness to participate in a learning activity. They appear happy and engaged, with one student prominently smiling and looking at the camera. The arrangement of desks is conducive to group learning, as seen by the layout in the middle of the image."
"education","An educational scene involving students in a classroom taking part in a lesson.","students","classroom scene","1",4,"In the image, there are four individuals with raised hands, suggesting they are raising their hands, possibly for a question or in response to a call for participation in a classroom setting.","student, desk, classroom, hands-raised, whiteboard, student, teacher, school supplies, hands-raised, desk, classroom, teaching, education, raising hands, students, classroom, educational, teaching, raising hands, students, class, lesson, education, raising hands, students","[0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04]","positive","high","Students are actively raising their hands, indicating readiness to participate in a learning activity. They appear happy and engaged, with one student prominently smiling and looking at the camera. The arrangement of desks is conducive to group learning, as seen by the layout in the middle of the image."
"lesson","Students are engaged in a lesson taking place in a classroom.","students","educational environment","1",4,"In the image, there are four individuals with raised hands, suggesting they are raising their hands, possibly for a question or in response to a call for participation in a classroom setting.","student, desk, classroom, hands-raised, whiteboard, student, teacher, school supplies, hands-raised, desk, classroom, teaching, education, raising hands, students, classroom, educational, teaching, raising hands, students, class, lesson, education, raising hands, students","[0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04], [0.72, 0.12, 0.09, 0.05, 0.04]","positive","high","Students are actively raising their hands, indicating readiness to participate in a learning activity. They appear happy and engaged, with one student prominently smiling and looking at the camera. The arrangement of desks is conducive to group learning, as seen by the layout in the middle of the image."
"classroom","A group of students is seated in a classroom, some with their hands on their desks and others appearing relaxed. Many are wearing casual clothing and appear to be engaging in conversation or attending a lesson.","students","desks","TRUE",7,"The image contains several individuals in a classroom setting","student, classroom, chair, desk, lecture","0.45, 0.25, 0.15, 0.10, 0.05","moderate","moderate","Students are sitting in a row with their desks arranged straight; no interactive or group work. Most students appear engaged as they are looking towards the front, possibly at the teacher or the board. However, their body language, such as folded arms or leaning back, suggests less enthusiasm compared to a highly engaged classroom. There are no smiles or active discussions visible."
"school classroom","A lively school classroom with a teacher engaging a group of students who are actively participating in the lesson.","teacher","students","TRUE",1,"A person leading a group of children in a classroom setting, holding a tablet.","teacher, students, schoolbooks, desks, classroom, teacher, students, schoolbooks, desks, classroom","0.67, 0.12, 0.05, 0.03, 0.03, 0.67, 0.12, 0.05, 0.03, 0.03","positive","high","The students are visibly attentive and engaged, as seen by their focused gaze on the teacher and the smiling facial expressions. The teacher is actively engaging with the class, holding a digital tablet, which appears to be used for educational purposes. The classroom is organized with desks set up for interactive learning, suggesting a collaborative environment where students are encouraged to participate and interact with their peers and the teacher."
"school classroom","A lively school classroom with a teacher engaging a group of students who are actively participating in the lesson.","teacher","students","TRUE",1,"A person leading a group of children in a classroom setting, holding a tablet.","teacher, students, schoolbooks, desks, classroom, teacher, students, schoolbooks, desks, classroom","0.67, 0.12, 0.05, 0.03, 0.03, 0.67, 0.12, 0.05, 0.03, 0.03","positive","high","The students are visibly attentive and engaged, as seen by their focused gaze on the teacher and the smiling facial expressions. The teacher is actively engaging with the class, holding a digital tablet, which appears to be used for educational purposes. The classroom is organized with desks set up for interactive learning, suggesting a collaborative environment where students are encouraged to participate and interact with their peers and the teacher."
